,id,sponsor,event,venue,place,date,location,page_count,dish_count
9459,26916,The Woodstock Inn,Dinner,HOTEL,The Woodstock Inn,9/4/1967,The Woodstock Inn,1,49
9489,26946,Hotel Kurhaus,Lunch,"HOTEL,RESTAURANT",Restaurant La Corvette,9/19/1965,Hotel Kurhaus,1,1
9516,26974,Hotel-Restaurant du Mont-Blanc,Daily,"FOREIGN,HOTEL,RESTAURANT",Hotel-Restaurant du Mont-Blanc,8/1/1964,Hotel Restaurant Du Mont Blanc,1,52
9529,26995,Camelback Inn,Breakfast,HOTEL,The Eye Opener,1/1/1966,Camelback Inn,1,48
9532,26998,Camelback Inn,Breakfast,HOTEL,The Eye Opener,3/1/1965,Camelback Inn,1,49
9533,26999,Hotel del Coronado,Dinner,HOTEL,Hotel del Coronado,9/19/1967,Hotel Del Coronado,4,65
9541,27007,Southern Pacific,dinner,RAILROAD,Southern Pacific,9/20/1941,Southern Pacific,4,18
9542,27008,Southern Pacific,dinner,RAILROAD,Southern Pacific,1/1/1938,Southern Pacific,4,122
9543,27009,Southern Pacific,dinner,RAILROAD,Southern Pacific,1/1/1941,Southern Pacific,4,87
9544,27010,Southern Pacific,supper,RAILROAD,Southern Pacific,1/1/1938,Southern Pacific,4,105
9546,27012,Advertising Club and The Downtown Association,dinner,HOTEL,The Palace Hotel,9/11/1912,Advertising Club And The Downtown Association,4,26
9549,27015,Missouri Pacific Lines,dinner,RAILROAD,"Dining Car, Missouri Pacific Lines",6/16/1940,Missouri Pacific Lines,4,73
9550,27016,The Milwaukee Road,breakfast,RAILROAD,"Dining Car, The Milwaukee Road",1/1/1938,The Milwaukee Road,4,120
9553,27019,The Mandarin,lunch,RESTAURANT,"The Mandarin, Garfield 6464",9/27/1924,The Mandarin,2,132
9557,27023,Ruby Foo's Sun Dial,daily menu,RESTAURANT,Ruby Foo's Sun Dial,1/1/1939,Ruby Foo's Sun Dial,4,195
9560,27026,"Chicagoan, Kansas Cityan",dinner,RAILROAD,"Dining Car, Fred Harvey",11/11/1941,"Chicagoan, Kansas Cityan",4,70
9561,27027,Southern Pacific,dinner,RAILROAD,"The San Francisco Challenger, Southern Pacific",8/1/1941,Southern Pacific,4,107
9573,27043,New China Cafe,daily menu,RESTAURANT,New China Cafe,1/1/1937,New China Cafe,6,463
9578,27048,Western Pacific,lunch,RAILROAD,The Feather River Route,4/13/1938,Western Pacific,4,62
9579,27049,Western Pacific,dinner,RAILROAD,The Feather River Route,4/13/1938,Western Pacific,4,69
9582,27052,San Francisco Overland Limited,breakfast,RAILROAD,San Francisco Overland Limited,1/1/1920,San Francisco Overland Limited,6,111
9583,27053,San Francisco Overland Limited,lunch,RAILROAD,San Francisco Overland Limited,1/1/1920,San Francisco Overland Limited,6,116
9588,27058,New York Central System,daily menu,RAILROAD,The Mercury,1/1/1930,New York Central System,4,174
9594,27064,San Francisco Overland Limited,breakfast,RAILROAD,San Francisco Overland Limited,4/29/1942,San Francisco Overland Limited,2,109
9595,27065,The Mandarin,supper,RESTAURANT,"The Mandarin, Garfield 6464",1/1/1924,The Mandarin,4,242
9600,27070,Ruby Foo's ,daily menu,RESTAURANT,Ruby Foo's,6/7/1938,Ruby Foo's ,5,194
9601,27071,Southern Pacific,dinner,RAILROAD,"Dining Car, Southern Pacific",8/1/1942,Southern Pacific,4,114
9604,27074,Southern Pacific,breakfast,RAILROAD,Southern Pacific,8/1/1937,Southern Pacific,4,78
9605,27075,Southern Pacific,breakfast,RAILROAD,Southern Pacific,2/1/1937,Southern Pacific,3,88
9606,27076,Southern Pacific,lunch,RAILROAD,Southern Pacific,2/1/1937,Southern Pacific,4,125
9607,27077,Southern Pacific,breakfast,RAILROAD,Southern Pacific,5/1/1938,Southern Pacific,4,146
9611,27081,Southern Pacific,dinner,RAILROAD,Southern Pacific,2/1/1937,Southern Pacific,3,84
9613,27083,San Francisco Overland Limited,dinner,RAILROAD,"Diner Car 385, San Francisco Overland Limited",5/1/1925,San Francisco Overland Limited,2,116
9614,27084,San Francisco Overland Limited,breakfast,RAILROAD,San Francisco Overland Limited,12/8/1937,San Francisco Overland Limited,3,59
9615,27085,San Francisco Overland Limited,dinner,RAILROAD,San Francisco Overland Limited,1/1/1937,San Francisco Overland Limited,3,101
9616,27086,San Francisco Overland Limited,dinner,RAILROAD,San Francisco Overland Limited,11/10/1942,San Francisco Overland Limited,2,53
9617,27087,American Association of State Highway Officials,dinner ,HOTEL,Hotel St. Francis,1/1/1936,American Association Of State Highway Officials,12,16
9621,27091,Southern Pacific,dinner,RAILROAD,"Dining Car, Southern Pacific",1/1/1942,Southern Pacific,4,117
